o,h,l,c,v,timestamp
1391.0,1393.0,1390.0,1390.9000244140625,126270,2025-09-23 03:55:00+00:00
1390.800048828125,1390.800048828125,1388.0999755859375,1389.5,156742,2025-09-23 04:00:00+00:00
1389.5,1389.9000244140625,1387.4000244140625,1389.5,166427,2025-09-23 04:05:00+00:00
1389.5,1389.9000244140625,1385.199951171875,1385.800048828125,212174,2025-09-23 04:10:00+00:00
1386.5,1386.5,1382.4000244140625,1382.5,166521,2025-09-23 04:15:00+00:00
1382.699951171875,1383.5999755859375,1382.0,1382.800048828125,68321,2025-09-23 04:20:00+00:00
1383.0,1385.0,1382.5,1384.300048828125,88185,2025-09-23 04:25:00+00:00
1383.5999755859375,1385.699951171875,1383.199951171875,1385.5,63467,2025-09-23 04:30:00+00:00
1385.5,1385.5,1384.0999755859375,1385.199951171875,80350,2025-09-23 04:35:00+00:00
1385.0,1385.0999755859375,1383.5,1383.5,62752,2025-09-23 04:40:00+00:00
1383.5,1383.699951171875,1382.199951171875,1382.300048828125,42490,2025-09-23 04:45:00+00:00
1382.300048828125,1382.5,1381.0999755859375,1381.5999755859375,94510,2025-09-23 04:50:00+00:00
1381.5999755859375,1383.0999755859375,1381.300048828125,1382.5999755859375,41497,2025-09-23 04:55:00+00:00
1382.5,1382.699951171875,1381.9000244140625,1382.300048828125,33919,2025-09-23 05:00:00+00:00
1382.300048828125,1384.0,1382.0999755859375,1383.5999755859375,64287,2025-09-23 05:05:00+00:00
1384.0,1384.300048828125,1383.4000244140625,1384.300048828125,19690,2025-09-23 05:10:00+00:00
1384.0999755859375,1385.0999755859375,1384.0999755859375,1385.0999755859375,54005,2025-09-23 05:15:00+00:00
1385.0,1385.5,1383.699951171875,1385.199951171875,103986,2025-09-23 05:20:00+00:00
1385.199951171875,1386.0,1380.300048828125,1380.5999755859375,672647,2025-09-23 05:25:00+00:00
1380.4000244140625,1384.300048828125,1380.0,1383.5999755859375,107170,2025-09-23 05:30:00+00:00
1383.9000244140625,1384.800048828125,1383.5,1384.0,81630,2025-09-23 05:35:00+00:00
1384.300048828125,1384.9000244140625,1382.300048828125,1382.9000244140625,118502,2025-09-23 05:40:00+00:00
1382.800048828125,1383.0,1381.4000244140625,1381.5,95984,2025-09-23 05:45:00+00:00
1381.199951171875,1382.0999755859375,1380.5999755859375,1381.0,125422,2025-09-23 05:50:00+00:00
1380.9000244140625,1381.199951171875,1380.0,1380.800048828125,61671,2025-09-23 05:55:00+00:00
1380.800048828125,1381.4000244140625,1379.0999755859375,1379.300048828125,128342,2025-09-23 06:00:00+00:00
1379.0999755859375,1380.699951171875,1379.0999755859375,1379.0999755859375,94671,2025-09-23 06:05:00+00:00
1379.0999755859375,1380.0,1377.9000244140625,1379.300048828125,343198,2025-09-23 06:10:00+00:00
1379.0999755859375,1379.699951171875,1378.0,1378.0999755859375,59862,2025-09-23 06:15:00+00:00
1378.0999755859375,1378.800048828125,1377.0,1377.0,94944,2025-09-23 06:20:00+00:00
1376.800048828125,1379.0,1376.800048828125,1378.5999755859375,66902,2025-09-23 06:25:00+00:00
1378.5,1381.0,1378.5,1380.699951171875,175431,2025-09-23 06:30:00+00:00
1380.699951171875,1382.0,1380.5999755859375,1381.800048828125,58857,2025-09-23 06:35:00+00:00
1381.800048828125,1382.800048828125,1381.300048828125,1382.5999755859375,49214,2025-09-23 06:40:00+00:00
1382.800048828125,1383.199951171875,1381.800048828125,1381.9000244140625,75084,2025-09-23 06:45:00+00:00
1381.9000244140625,1382.5999755859375,1380.300048828125,1381.0,170650,2025-09-23 06:50:00+00:00
1381.0,1384.5,1380.4000244140625,1383.699951171875,258858,2025-09-23 06:55:00+00:00
1383.800048828125,1386.300048828125,1383.0999755859375,1385.5,160263,2025-09-23 07:00:00+00:00
1385.5,1388.4000244140625,1385.300048828125,1387.5,249752,2025-09-23 07:05:00+00:00
1387.5,1387.9000244140625,1385.199951171875,1385.300048828125,188888,2025-09-23 07:10:00+00:00
1385.300048828125,1385.699951171875,1383.699951171875,1384.5999755859375,180885,2025-09-23 07:15:00+00:00
1384.5999755859375,1385.300048828125,1382.9000244140625,1384.0,126383,2025-09-23 07:20:00+00:00
1384.199951171875,1385.0,1383.199951171875,1383.699951171875,65426,2025-09-23 07:25:00+00:00
1383.9000244140625,1386.800048828125,1383.5999755859375,1386.199951171875,85779,2025-09-23 07:30:00+00:00
1386.199951171875,1387.5,1384.9000244140625,1385.5,84350,2025-09-23 07:35:00+00:00
1385.4000244140625,1386.0,1385.0,1385.0,90424,2025-09-23 07:40:00+00:00
1385.0,1385.9000244140625,1384.800048828125,1385.5999755859375,72632,2025-09-23 07:45:00+00:00
1385.0999755859375,1385.9000244140625,1385.0,1385.699951171875,82836,2025-09-23 07:50:00+00:00
1385.699951171875,1388.800048828125,1385.0999755859375,1388.199951171875,95644,2025-09-23 07:55:00+00:00
1388.0999755859375,1391.5,1388.0,1390.5999755859375,269753,2025-09-23 08:00:00+00:00
1390.5,1390.699951171875,1387.5,1388.5,173761,2025-09-23 08:05:00+00:00
1388.5,1389.9000244140625,1387.5999755859375,1389.0,100439,2025-09-23 08:10:00+00:00
